threshold,mkt,atl_area,n_hosp,n_deliveries,ch_dist,ch_peri,ch_teach,ch_csection,atl_share,tag
0.15,11,Outside Atlanta,5,38504,-0.025247829890620483,0.26561928708233773,-0.23748271974649737,0.04847991121767607,0,015
0.15,12,Atlanta area,2,11921,-0.026270454006786206,0.19866953648879943,NA,-0.014034017377233043,0.9092358023655733,015
0.15,13,Atlanta area,2,2100,-0.004677722245856744,NA,NA,-0.020123143080488532,0.8714285714285714,015
0.15,14,Outside Atlanta,4,33639,-0.019510046614818595,-4.0629793373004924e-4,0.07468104551183871,-0.04513425820345582,0,015
0.2,1,Outside Atlanta,2,2770,-0.011576048713862344,NA,NA,-0.004935210535030038,0,020
0.2,2,Atlanta area,3,16534,-0.018393906729499684,NA,NA,-0.036426990810773344,1,020
0.2,5,Outside Atlanta,5,32010,-0.02903120949247149,0.21051689112072802,0.2336345296018813,-0.01878670178433344,0,020
0.2,9,Atlanta area,11,179453,-0.03283900491186947,0.1656407362518517,0.14216831420725884,0.03922652782249563,0.9921929418845046,020
0.2,15,Atlanta area,7,45948,-0.0392422876661226,0.38655480285848554,0.018013068729591786,0.10154391170670052,1,020
0.2,17,Outside Atlanta,3,22205,-0.026966535797806713,NA,0.4120989401837615,0.08834390048369684,0,020
0.2,18,Outside Atlanta,5,38090,-0.025546634686865913,0.26573595466406913,-0.23814292057327477,0.04871039423916184,0,020
0.2,20,Outside Atlanta,2,5285,-0.004182488187563799,NA,-0.0332746513040677,0.03896816623798121,0,020
0.2,21,Atlanta area,2,9775,-0.008023122841884979,0.009032191502830017,NA,0.00982820141338644,1,020
0.2,24,Outside Atlanta,3,16834,-0.039754073343855695,0.14789780837188568,NA,-0.0020510759285352832,0,020
0.2,26,Outside Atlanta,2,4342,-0.015245607176849746,NA,-0.1925861327067036,0.047581721165220706,0,020
0.2,29,Outside Atlanta,3,4462,-0.008819243849131736,NA,NA,0.05700959370570316,0,020
0.2,30,Atlanta area,2,7571,-0.017944171834817717,NA,NA,0.08171260675102537,0.9734513274336283,020
0.2,31,Atlanta area,2,6087,-0.012497151764984844,NA,NA,-0.032933421609850466,0.5730244783965829,020
0.2,32,Outside Atlanta,3,21686,-0.01575674054477775,0.265287129154872,0.056857142208708654,-0.02009355570550196,0.27935073319192105,020
0.2,36,Atlanta area,2,11921,-0.026270454006786206,0.19866953648879943,NA,-0.014034017377233043,0.9092358023655733,020
0.2,38,Outside Atlanta,4,33639,-0.019510046614818595,-4.0629793373004924e-4,0.07468104551183871,-0.04513425820345582,0,020
0.2,42,Atlanta area,2,2185,-0.004774217492572955,NA,NA,-0.019695762218221013,0.8375286041189931,020
0.2,47,Outside Atlanta,2,2450,8.752898350558336e-4,NA,0.07123731221519977,NA,0,020
0.25,3,Atlanta area,2,16931,-0.016263223163592962,0.038223190568876485,NA,-0.006802482298453657,0.9671017659913768,025
0.25,5,Outside Atlanta,5,31370,-0.02979174688817474,0.2164752807558765,0.228593730370541,-0.01844272910322064,0,025
0.25,7,Outside Atlanta,3,24059,-0.01694544054923411,0.25686001747283266,0.08457630207625583,-0.027537332569660473,0.3340953489338709,025
0.25,8,Atlanta area,8,140124,-0.032220203972371624,0.23835400118915306,0.14389941813481077,0.02801416425976022,0.9974593931089606,025
0.25,9,Outside Atlanta,2,3232,-6.251514753182394e-4,NA,NA,0.0019162405174073679,0,025
0.25,10,Atlanta area,2,6551,-0.012740115721933653,NA,NA,-0.03406860221637166,0.585712105022134,025
0.25,11,Outside Atlanta,2,2935,5.27010479484266e-4,NA,0.06235704894640273,NA,0,025
0.25,13,Atlanta area,2,8726,-0.01837625806815393,NA,NA,0.09052411736391187,0.9769653907861563,025
0.25,14,Outside Atlanta,2,5889,-0.004316002066390141,NA,-0.03749426108074156,0.04017133284075786,0,025
0.25,16,Outside Atlanta,4,33982,-0.019255088631151666,2.1993514655555967e-4,0.07497494731080945,-0.04555334549376302,0,025
0.25,17,Outside Atlanta,2,4342,-0.015245607176849746,NA,-0.1925861327067036,0.047581721165220706,0,025
0.25,18,Outside Atlanta,2,5574,-0.0064695588393511305,NA,0.20811172266526176,-9.901268656849888e-4,0,025
0.25,19,Outside Atlanta,2,2921,-0.01185675809449891,NA,NA,-0.0045064045838389055,0,025
0.25,20,Atlanta area,3,20648,-0.0034250117369530406,NA,NA,-0.0072927702523318556,1,025
0.25,21,Outside Atlanta,2,5645,-0.015467123521524476,NA,0.17884432689815624,0.00313778977640726,0,025
0.25,22,Outside Atlanta,3,16583,-0.03845181813921274,0.14829854372410609,NA,-0.0025432202920328334,0,025
0.25,23,Outside Atlanta,3,21842,-0.027356475799776916,NA,0.41462116750240213,0.0873039091174399,0,025
0.25,24,Atlanta area,6,51082,-0.0392045473664362,0.40285641192120025,0.0014305165246788984,0.10336075783580519,1,025
0.25,26,Outside Atlanta,3,28435,0.007325063675130786,-0.02721763124714812,NA,0.007906948468228644,0,025
0.25,27,Outside Atlanta,3,4407,-0.008416744094671354,NA,NA,0.046899008421751064,0,025
0.25,28,Atlanta area,2,12043,-0.026332755352851542,0.1978719514875457,NA,-0.013936606658040735,0.9000249107365275,025
0.25,37,Atlanta area,2,2185,-0.004774217492572955,NA,NA,-0.019695762218221013,0.8375286041189931,025
