"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_teach","age","(36.8,45.4]",5,-0.129714780183672,0.00782445573856205,-0.145050713431253,-0.11437884693609
"ch_teach","age","(36.8,45.4]",7,0.110393707316622,0.0149715407736596,0.0810494874002491,0.139737927232995
"ch_teach","age","(36.8,45.4]",8,0.305543636622055,0.00476402931399324,0.296206139166628,0.314881134077482
"ch_teach","age","(36.8,45.4]",10,0.0542068005153923,0.00521118917116442,0.04399286973991,0.0644207312908745
"ch_teach","age","(36.8,45.4]",11,0.065334908429014,0.0240683235986163,0.0181609941757261,0.112508822682302
"ch_teach","age","(45.4,54]",2,0.192483026187472,0.023413845077731,0.146591889835119,0.238374162539825
"ch_teach","age","(45.4,54]",3,-0.0635858580267019,0.0251238496106863,-0.112828603263647,-0.0143431127897567
"ch_teach","age","(45.4,54]",5,-0.174958287623433,0.0185937733958831,-0.211402083479363,-0.138514491767502
"ch_teach","age","(45.4,54]",7,0.0970400663990432,0.0423645946685355,0.0140054608487136,0.180074671949373
"ch_teach","age","(45.4,54]",8,0.307577467556662,0.035805052730287,0.237399564205299,0.377755370908025
"ch_teach","age","(45.4,54]",10,0.0328534295163554,0.030551913050778,-0.0270283200631696,0.0927351790958803
"ch_teach","age","(45.4,54]",11,0.0642116520609214,0.0501292913440337,-0.0340417589733848,0.162465063095227
"ch_teach","age","[11,19.6]",2,0.142846289831964,0.00626782761407439,0.130561347708379,0.15513123195555
"ch_teach","age","[11,19.6]",3,-0.0327219140781648,0.00625497611936828,-0.0449816672721266,-0.0204621608842029
"ch_teach","age","[11,19.6]",5,-0.0396346102297964,0.00619160062490104,-0.0517701474546024,-0.0274990730049903
"ch_teach","age","[11,19.6]",7,0.0641907100017903,0.0115013231577618,0.0416481166125771,0.0867333033910035
"ch_teach","age","[11,19.6]",8,0.201122791794339,0.00536229115316218,0.190612701134141,0.211632882454537
"ch_teach","age","[11,19.6]",10,0.0667643322200984,0.00436839016533492,0.0582022874960419,0.0753263769441548
"ch_teach","age","[11,19.6]",11,0.186916850587722,0.0116899178588619,0.164004611584353,0.209829089591092
"ch_csection","age","(19.6,28.2]",2,-0.00730386309128191,0.000875238159876574,-0.00901932988463999,-0.00558839629792383
"ch_csection","age","(19.6,28.2]",3,-0.0346407519026036,0.00236290855791852,-0.0392720526761239,-0.0300094511290833
"ch_csection","age","(19.6,28.2]",4,-0.0374616448940563,0.00178325990149382,-0.0409568343009842,-0.0339664554871284
"ch_csection","age","(19.6,28.2]",5,-0.000944158848347406,0.000591165405994152,-0.00210284304409594,0.000214525347401133
"ch_csection","age","(19.6,28.2]",6,0.035170349622401,0.00334860807573281,0.0286070777939647,0.0417336214508373
"ch_csection","age","(19.6,28.2]",7,-0.00205452524371761,0.000493277269227915,-0.00302134869140432,-0.00108770179603089
"ch_csection","age","(19.6,28.2]",8,-0.0222885690611602,0.00109042589678274,-0.0244258038188544,-0.0201513343034661
"ch_csection","age","(19.6,28.2]",10,0.00220166839249922,0.00229775083184981,-0.0023019232379264,0.00670526002292485
"ch_csection","age","(19.6,28.2]",11,-0.0391933719698009,0.00136387138148209,-0.0418665598775058,-0.036520184062096
