"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_teach","ci_scorent","10",10,0.0625001239722408,0.00250567495872636,0.0575890010531371,0.0674112468913445
"ch_teach","ci_scorent","10",11,0.0295529701094652,0.011422366671332,0.00716513143365441,0.051940808785276
"ch_teach","ci_scorent","25",2,0.182127539660299,0.00414319636275976,0.17400687478929,0.190248204531308
"ch_teach","ci_scorent","25",3,-0.0493416519930849,0.00428639800352345,-0.0577429920799908,-0.0409403119061789
"ch_teach","ci_scorent","25",5,-0.0508469762830052,0.00469853788886383,-0.0600561105451783,-0.0416378420208321
"ch_teach","ci_scorent","25",7,0.0829276004504586,0.00818923448402376,0.0668767008617721,0.0989785000391452
"ch_teach","ci_scorent","25",8,0.248325232028538,0.0029555908600147,0.242532273942909,0.254118190114167
"ch_teach","ci_scorent","25",10,0.0625001239722408,0.00250567495872636,0.0575890010531371,0.0674112468913445
"ch_teach","ci_scorent","25",11,0.0295529701094652,0.011422366671332,0.00716513143365441,0.051940808785276
"ch_teach","ci_scorent","50",2,0.182127539660299,0.00414319636275976,0.17400687478929,0.190248204531308
"ch_teach","ci_scorent","50",3,-0.05223939250337,0.00672458498157998,-0.0654195790672668,-0.0390592059394732
"ch_teach","ci_scorent","50",5,-0.0508469762830052,0.00469853788886383,-0.0600561105451783,-0.0416378420208321
"ch_teach","ci_scorent","50",7,0.0976224902488691,0.0114007840727048,0.0752769534663677,0.11996802703137
"ch_teach","ci_scorent","50",8,0.280739453113733,0.00425536893655534,0.272398929998084,0.289079976229381
"ch_teach","ci_scorent","50",10,0.0625001239722408,0.00250567495872636,0.0575890010531371,0.0674112468913445
"ch_teach","ci_scorent","50",11,0.00491745759767682,0.0210785483985607,-0.0363964972635021,0.0462314124588557
"ch_teach","ci_scorent","75",2,0.170114510915588,0.00398362027273758,0.162306615181022,0.177922406650153
"ch_teach","ci_scorent","75",3,-0.0481294142487175,0.00387754613802091,-0.0557294046792385,-0.0405294238181965
"ch_teach","ci_scorent","75",5,-0.0886049816830942,0.00490805598944966,-0.0982247714224155,-0.0789851919437728
"ch_teach","ci_scorent","75",7,0.0880615076886828,0.00674893372891971,0.0748335975800002,0.101289417797365
"ch_teach","ci_scorent","75",8,0.273941200803368,0.00268335027531595,0.268681834263749,0.279200567342987
"ch_teach","ci_scorent","75",10,0.0645675050777737,0.00279965775550118,0.0590801758769914,0.070054834278556
"ch_teach","ci_scorent","75",11,0.0874813789787883,0.0107957517221828,0.06632170560331,0.108641052354267
"ch_teach","ci_scorent","90",2,0.139975514422513,0.00455587955186857,0.131045990500851,0.148905038344176
"ch_teach","ci_scorent","90",3,-0.0496222202816549,0.00444922428737035,-0.0583426998849008,-0.0409017406784091
"ch_teach","ci_scorent","90",5,-0.0935265581385252,0.00533442622015544,-0.10398203353003,-0.0830710827470205
"ch_teach","ci_scorent","90",7,0.0917726803822087,0.00737690151568708,0.077313953411462,0.106231407352955
"ch_teach","ci_scorent","90",8,0.285956584610305,0.00278471845856499,0.280498536431518,0.291414632789093
"ch_teach","ci_scorent","90",10,0.0607790471518471,0.00349972904158403,0.0539195782303424,0.0676385160733518
"ch_teach","ci_scorent","90",11,0.154719149410743,0.0168124120764875,0.121766821740828,0.187671477080659
"ch_teach","ci_scorent","100",2,0.0842443715894088,0.00980006433398111,0.0650362454948058,0.103452497684012
"ch_teach","ci_scorent","100",3,-0.0531236781373797,0.00825882946793211,-0.0693109838945267,-0.0369363723802328
"ch_teach","ci_scorent","100",5,-0.0939201204713416,0.00801283394359318,-0.109625275000784,-0.078214965941899
"ch_teach","ci_scorent","100",7,0.0894855097944277,0.0151822003074208,0.059728397191883,0.119242622396972
"ch_teach","ci_scorent","100",8,0.307530467880799,0.0056704377425328,0.296416409905435,0.318644525856164
"ch_teach","ci_scorent","100",10,0.0353431442547162,0.00629904338350872,0.0229970192230391,0.0476892692863933
"ch_teach","ci_scorent","100",11,0.232370330727711,0.0283529242009953,0.17679859929376,0.287942062161662
"ch_teach","obgyn_10kwra","10",2,0.223460311225082,0.0041236808822719,0.215377896695829,0.231542725754335
"ch_teach","obgyn_10kwra","10",3,-0.132894498071148,0.00733416656900448,-0.147269464546397,-0.118519531595899
"ch_teach","obgyn_10kwra","10",5,-0.102246936313682,0.00416200508146424,-0.110404466273352,-0.0940894063540123
"ch_teach","obgyn_10kwra","10",7,0.1241734269282,0.0235456546191848,0.0780239438745979,0.170322909981802
"ch_teach","obgyn_10kwra","10",8,0.315272876206967,0.00357915124389043,0.308257739768942,0.322288012644993
"ch_teach","obgyn_10kwra","10",10,0.111047984189693,0.00484114552029178,0.101559338969921,0.120536629409465
"ch_teach","obgyn_10kwra","10",11,0.18128238923419,0.0120622679252891,0.157640344100624,0.204924434367757
"ch_teach","obgyn_10kwra","25",2,0.215418108400957,0.00395217587111239,0.207671843693577,0.223164373108338
"ch_teach","obgyn_10kwra","25",3,-0.0668772058367955,0.00636353212815959,-0.0793497288079883,-0.0544046828656027
"ch_teach","obgyn_10kwra","25",5,-0.0682819427143776,0.00359508026419757,-0.0753283000322048,-0.0612355853965503
"ch_teach","obgyn_10kwra","25",7,0.120711956179753,0.0149564315953223,0.0913973502529215,0.150026562106585
"ch_teach","obgyn_10kwra","25",8,0.259908377347655,0.00311823615279112,0.253796634488184,0.266020120207125
"ch_teach","obgyn_10kwra","25",10,0.306617982583264,0.0270941948896633,0.253513360599524,0.359722604567004
